employee_id;last_name;first_name;middle_name;birth_date;employment_status;additional_status;gender;blood_group;department;grade;position;specialty;work_state;work_type;fit_status;order_ref;location;residence_place;registration_place;email;phone;phone_note;education;salary_grid;salary_amount;bank_name;bank_card_number;bank_iban;tax_id;personal_matter_file;personal_matter_file_issue_date;personal_matter_file_expiry_date;medical_commission_file;medical_commission_file_issue_date;medical_commission_file_expiry_date;veterans_certificate_file;veterans_certificate_file_issue_date;veterans_certificate_file_expiry_date;driver_license_file;driver_license_file_issue_date;driver_license_file_expiry_date;id_certificate_file;id_certificate_file_issue_date;id_certificate_file_expiry_date;foreign_passport_number;foreign_passport_file;foreign_passport_file_issue_date;foreign_passport_file_expiry_date;criminal_record_file;criminal_record_file_issue_date;criminal_record_file_expiry_date;military_id_file;military_id_file_issue_date;military_id_file_expiry_date;medical_certificate_file;medical_certificate_file_issue_date;medical_certificate_file_expiry_date;insurance_file;insurance_file_issue_date;insurance_file_expiry_date;education_diploma_file;education_diploma_file_issue_date;education_diploma_file_expiry_date;status_start_date;status_end_date;notes;test_new_field
1;Test;Update;;1996-02-09;Відпустка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/employee_1/veterans_certificate_file.jpg;;;files/employee_1/driver_license_file.pdf;2023-06-01;2026-02-11;files/employee_1/id_certificate_file.jpg;;;;;;;;;;;;;;;;;;;;;;2026-02-08;2026-02-09;Test log entry 900;
2;Сидоров;Василь;;2001-02-14;Працює;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Мирон;Дмитро;Антифий;;Працює;;;0(I) Rh-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;APITest;Create;;;Працює;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;ImportTest1;John;M;;Працює;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ImportTest2;Jane;A;;Працює;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;ImportTest1;John;M;;Працює;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;ImportTest2;Jane;A;;Працює;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;TestVacation;User;;;Відпустка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-02-08;2026-02-15;;
10;TestSickLeave;User;;;Лікарняний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-02-09;2026-02-11;;
11;Task4Test;Cards;View;;Працює;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Created by Task 4 testing;
12;TestInlineEdit;TableView;Testing;;Працює;;;;;;;;Active;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;FilterTest;Придатний;;;Працює;;;;;;;;активний;;Придатний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Новий;Співробітник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Невалідний;Дата;;15.05.1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Невалідний;Статус;;;Неправильний статус;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Мінімальний;Набір;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Частковий;Імпорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;БезБОМ;Тест;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;CleanupTest1;Log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;CleanupTest2;Log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;CleanupTest3;Log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;CleanupTest4;Log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;CleanupTest5;Log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;IntegrationTest;Complete;Workflow;;Працює;;;;;;Test Engineer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Import;Test1;;1985-05-15;Працює;;;;;;;Engineer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Import;Test2;;1990-06-20;Працює;;;;;;;Manager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Import;Test3;;1988-03-12;Працює;;;;;;;Developer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
