log_id;timestamp;action;employee_id;employee_name;field_name;old_value;new_value;details
1;2026-01-25T21:00:51.623Z;CREATE;5;Тестовый Пользователь Иванович;;;;Создан новый сотрудник
2;2026-01-25T21:01:19.582Z;UPDATE;5;Тестовый Пользователь Иванович;employment_status;Работает;Отпуск;Изменено поле: employment_status
3;2026-01-25T21:01:19.582Z;UPDATE;5;Тестовый Пользователь Иванович;position;Тестировщик;Старший тестировщик;Изменено поле: position
4;2026-01-25T21:01:19.583Z;UPDATE;5;Тестовый Пользователь Иванович;fit_status;;Годен;Изменено поле: fit_status
5;2026-01-25T21:02:40.559Z;DELETE;5;Тестовый Пользователь Иванович;;;;Сотрудник удален
6;2026-01-25T21:16:15.192Z;UPDATE;5;Иванов1 Петр1 Сергеевич1;employment_status;Работает;Уволен;Изменено поле: employment_status
7;2026-01-25T21:57:04.960Z;UPDATE;3;Петров Алексей Николаевич;location;;Симферополь;Изменено поле: location
8;2026-01-26T03:41:20.269Z;CREATE;6;Михайлов Симон;;;;Создан новый сотрудник
9;2026-01-26T04:01:55.653Z;UPDATE;6;Михайлов Симон Васильевич;middle_name;;Васильевич;Изменено поле: middle_name
10;2026-01-26T04:01:55.655Z;UPDATE;6;Михайлов Симон Васильевич;employment_status;;Работает;Изменено поле: employment_status
11;2026-01-26T04:01:55.656Z;UPDATE;6;Михайлов Симон Васильевич;additional_status;;Дополнительный статус1;Изменено поле: additional_status
12;2026-01-26T04:01:55.657Z;UPDATE;6;Михайлов Симон Васильевич;location;;Керчь;Изменено поле: location
13;2026-01-26T04:01:55.657Z;UPDATE;6;Михайлов Симон Васильевич;department;;Подразделение первое;Изменено поле: department
14;2026-01-26T04:01:55.658Z;UPDATE;6;Михайлов Симон Васильевич;position;;слесарь;Изменено поле: position
15;2026-01-26T04:01:55.662Z;UPDATE;6;Михайлов Симон Васильевич;grade;;седьмой;Изменено поле: grade
16;2026-01-26T04:01:55.662Z;UPDATE;6;Михайлов Симон Васильевич;salary_grid;;12;Изменено поле: salary_grid
17;2026-01-26T04:01:55.663Z;UPDATE;6;Михайлов Симон Васильевич;salary_amount;;2000;Изменено поле: salary_amount
18;2026-01-26T04:01:55.664Z;UPDATE;6;Михайлов Симон Васильевич;work_state;;не рабочий;Изменено поле: work_state
19;2026-01-26T04:01:55.665Z;UPDATE;6;Михайлов Симон Васильевич;work_type;;Частичная занятость;Изменено поле: work_type
20;2026-01-26T04:01:55.666Z;UPDATE;6;Михайлов Симон Васильевич;gender;;Мужской;Изменено поле: gender
21;2026-01-26T04:01:55.667Z;UPDATE;6;Михайлов Симон Васильевич;fit_status;;Не годен;Изменено поле: fit_status
22;2026-01-26T04:01:55.668Z;UPDATE;6;Михайлов Симон Васильевич;order_ref;;2 от 25;Изменено поле: order_ref
23;2026-01-26T04:01:55.669Z;UPDATE;6;Михайлов Симон Васильевич;bank_name;;Банк;Изменено поле: bank_name
24;2026-01-26T04:01:55.670Z;UPDATE;6;Михайлов Симон Васильевич;bank_card_number;;Номер карты;Изменено поле: bank_card_number
